object_type,materials,n,made_of (primary),made_of (support),classified_as (object type) (primary),classified_as (object type) (secondary),technique,editorial notes,
Dessin,lavé à l'encre et sur papier,4,,,,,,,
Dessin,lavé à l'encre sur papier blanc,4,,,,,,,
Dessin,lavé au bistre et rehaussé de blanc,4,,,,,,,
Dessin,lavé d'encre de la Chine,4,,,,,,,
Dessin,lavé d'encre ou de bistre,4,,,,,,,
Dessin,lavé de bistre & rehaussé de blanc,4,,,,,,,
Dessin,lavée de sanguine & rehaussée de blanc,4,,,,,,,
Dessin,lavés & coloriés,4,,,,,,,
Dessin,lavés d'aquarelle,4,,,,,,,
Dessin,lavis & couleur,4,,,,,,,
Dessin,lavis à l'encre,4,,,,,,,
Dessin,"lavis à l'encre de Chine et bistre, sur papier blanc",4,,,,,,,
Dessin,lavis gris,4,,,,,,,
Dessin,mix-aquarel,4,,,,,,,
Dessin,pastel [?],4,,,,,,,
Dessin,pierre noire & rehaussé de blanc,4,,,,,,,
Dessin,pierre noire & rehauts de blanc sur papier gris,4,,,,,,,
Dessin,pierre noire rehaussé de blanc sur papier,4,,,,,,,
Dessin,pierre noire rehaussée de blanc sur papier rouge,4,,,,,,,
Dessin,"pierre noire, lavé de bistre & rehaussé de blanc",4,,,,,,,
Dessin,pierre-noire d'Italie sur papier blanc,4,,,,,,,
Dessin,pinceau & encre de chine,4,,,,,,,
Dessin,Plume & bistre,4,,,,,,,
Dessin,"plume & crayon noir, lavé d'encre de chine",4,,,,,,,
Dessin,plume & lavé à l'encre sur papier blanc,4,,,,,,,
Dessin,plume & lavé au bistre sur papier blanc,4,,,,,,,
Dessin,plume & lavé d'aquarelle,4,,,,,,,
Dessin,"plume & lavé d'encre de chine & de bistre, & partie dessinée à la sanguine",4,,,,,,,
Dessin,"plume & lavé, sur papier blanc",4,,,,,,,
Dessin,plume & lavés au bistre,4,,,,,,,
Dessin,plume & lavés de bistre,4,,,,,,,
Dessin,plume & lavis de bistre rehaussés de blanc au pinceau,4,,,,,,,
Dessin,plume & lavis rehaussé de blanc,4,,,,,,,
Dessin,plume et coloriés,4,,,,,,,
Dessin,plume et encre de la Chine,4,,,,,,,
Dessin,plume et lavé à l'aquarelle,4,,,,,,,
Dessin,plume et lavis d'indigo,4,,,,,,,
Dessin,plume et pierre noire,4,,,,,,,
Dessin,plume et rehaussé de blanc,4,,,,,,,
Dessin,plume et sur papier,4,,,,,,,
Dessin,plume lavé à l'encre de la Chine,4,,,,,,,
Dessin,"plume sur papier blanc, & lavé d'aquarelle",4,,,,,,,
Dessin,"plume, & lavé à l'encre de la Chine",4,,,,,,,
Dessin,"plume, au bistre & sanguine",4,,,,,,,
Dessin,"plume, bistre & encre de chine",4,,,,,,,
Dessin,"plume, bistre & indigo",4,,,,,,,
Dessin,"plume, bistre et rehauts de blanc sur papier bleu",4,,,,,,,
Dessin,"plume, bistre, encre de chine, colorié",4,,,,,,,
Dessin,"plume, bistre, encre de chine, rehaussé de blanc, sanguine",4,,,,,,,
Dessin,"plume, colorié, sanguine, plume, encre de chine, bistre",4,,,,,,,
Dessin,"plume, crayon noir, bistre, encre de chine",4,,,,,,,
Dessin,"plume, crayon noir, blanc, papier bleu, sanguine",4,,,,,,,
Dessin,"plume, encre de chine rehaussée de blanc, crayon noir lavé de bistre, sanguine",4,,,,,,,
Dessin,"plume, encre de chine, bistre, crayon noir",4,,,,,,,
Dessin,"plume, encre de chine, blanc, papier bleu, crayon noir",4,,,,,,,
Dessin,"plume, encre de chine, crayon noir, bistre",4,,,,,,,
Dessin,"plume, encre de chine, crayon noir, blanc",4,,,,,,,
Dessin,"plume, encre de chine, outremer, rehaussée de blanc, colorié, crayon noir",4,,,,,,,
Dessin,"plume, encre de chine, papier bleu, crayon noir, sanguine",4,,,,,,,
Dessin,"plume, encre de chine, rehaussée de blanc sur papier bleu, sanguine.",4,,,,,,,
Dessin,"plume, encre de chine, sanguine, bistre, blanc",4,,,,,,,
Dessin,"plume, encre de chine, trois crayons sur papier gris, crayon noir",4,,,,,,,
Dessin,"plume, encre de chine, trois crayons, crayon noir",4,,,,,,,
Dessin,"plume, l'encre, et sur papier",4,,,,,,,
Dessin,"plume, lavé à l'aquarelle",4,,,,,,,
Dessin,"plume, lavé à l'encre & pierre noire",4,,,,,,,
Dessin,"plume, lavé à l'encre, au bistre",4,,,,,,,
Dessin,"plume, lavé d'encre, rehaussé de blanc, et sur papier bleu",4,,,,,,,
Dessin,"plume, lavé de bistre & d'encre de chine",4,,,,,,,
Dessin,"plume, lavé de bistre et rehaussé de blanc",4,,,,,,,
Dessin,"plume, lavé de bistre.",4,,,,,,,
Dessin,"plume, lavés à l'encre, à l'indigo, et coloré",4,,,,,,,
Dessin,"plume, lavis bistre et rehauts de blanc, sur papier gris",4,,,,,,,
Dessin,"plume, lavis d'encre et lavis bistre",4,,,,,,,
Dessin,"plume, sanguine, aquarelle, crayon noir",4,,,,,,,
Dessin,"plume, sanguine, encre de chine, blanc",4,,,,,,,
Dessin,sanguine & pierre noire sur papier blanc,4,,,,,,,
Dessin,sanguine et lavis bistre,4,,,,,,,
Dessin,sanguine ou pierre noire,4,,,,,,,
Dessin,sanguine sur papier bleu,4,,,,,,,
Dessin,"sanguine, blanc, plume, bistre, crayon noir, encre de chine",4,,,,,,,
Dessin,"sanguine, crayon noir, plume, encre de chine",4,,,,,,,
Dessin,"sanguine, encre de chine, plume, bistre",4,,,,,,,
Dessin,"sanguine, encre de chine, plume, crayon noir",4,,,,,,,
Dessin,"sanguine, plume, encre de chine, bistre",4,,,,,,,
Dessin,"sanguine, plume, encre de chine, blanc, papier gris, papier bistré",4,,,,,,,
Dessin,"sanguine, plume, encre de chine, blanc, papier gris, papier bistre, pastel",4,,,,,,,
Dessin,sur carton,4,,,,,,,
Dessin,"sur papier blanc, à la plume, & lavé d'aquarelle",4,,,,,,,
Dessin,"sur papier bleu, aux crayons noir & blanc",4,,,,,,,
Dessin,"sur papier gris, aux crayons noir & blanc",4,,,,,,,
Dessin,sur papier rehaussé de blanc,4,,,,,,,
Dessin,"trois crayons, plume",4,,,,,,,
Dessin,"trois crayons, plume, colorié",4,,,,,,,
Dessin,"trois crayons, sur papier bleu",4,,,,,,,
Dessin; Dessin,aquarellé & à la pierre noire,4,,,,,,,
Drawing,chalk,4,,,,,,,
Drawing,en grisaille,4,,,,,,,
Drawing,in bister and white,4,,,,,,,
Drawing,"in bister, on blue paper, heightened",4,,,,,,,
Drawing,"in bister, on blue paper, heightened with white",4,,,,,,,
Drawing,in chalk; in bister,4,,,,,,,
Drawing,in colored chalk,4,,,,,,,
Drawing,in india ink and bister,4,,,,,,,
Drawing,in pen & wash,4,,,,,,,
Drawing,"in pen and bister, heightened with white",4,,,,,,,
Drawing,"in pen and bister, on blue paper, heightened",4,,,,,,,
Drawing,"in pen and india ink on blue paper, heightened",4,,,,,,,
Drawing,in pen and wash,4,,,,,,,
Drawing,"in pen, ink, bister",4,,,,,,,
Drawing,"in pen, on blue paper",4,,,,,,,
Drawing,"in pen, on grey paper, heightened",4,,,,,,,
Drawing,"in pen, washed with bister",4,,,,,,,
Drawing,on board,4,,,,,,,
Drawing,on glass,4,,,,,,,
Drawing,on parchment,4,,,,,,,
Drawing,tinted; in ink,4,,,,,,,
Émail,émail sur verre,4,,,,,,,
Enamel,in copper,4,,,,,,,
Enamel,in watercolour,4,,,,,,,
Enamel; Painting,,4,,,,,,,
Gemälde,Aquarell.,4,,,,,,,
Gemälde,auf Lapislazuli,4,,,,,,,
Gemälde,auf Leinen,4,,,,,,,
Gemälde,auf Leinewand,4,,,,,,,
Gemälde,auf Messing,4,,,,,,,
Gemälde,Email auf Kupfer,4,,,,,,,
Gemälde,en squise,4,,,,,,,
Gemälde,Malpappe,4,,,,,,,
Gemälde,Öl auf  Karton,4,,,,,,,
Gemälde,Öl auf Eichenholz,4,,,,,,,
Gemälde,Öl auf Holz und Leinwand,4,,,,,,,
Gemälde,"Öl auf Leinwand, Karton",4,,,,,,,
Gemälde,Öl auf Malpapier,4,,,,,,,
Gemälde,Öl Öl auf Pappe,4,,,,,,,
Gemälde,Pastell auf Pappe oder Papier,4,,,,,,,
Gemälde,Pastell.,4,,,,,,,
Gemälde,Schmelzmalerei auf Glas,4,,,,,,,
Gemälde,"Tempera, Öl",4,,,,,,,
Gemälde,Wachs auf Holz,4,,,,,,,
Gemälde,Wasserfarbe,4,,,,,,,
Marqueterie,marqueterie,4,,,,,,,
Miniatur,auf Kupferemail,4,,,,,,,
Miniatur,Glas,4,,,,,,,
Miniatur,Velin,4,,,,,,,
Miniature,émail,4,,,,,,,
Miniature,en émail,4,,,,,,,
Miniature,in crayon,4,,,,,,,
Miniature,on board,4,,,,,,,
Miniature,on silver,4,,,,,,,
Miniature,sur cuivre,4,,,,,,,
Miniature,sur toile,4,,,,,,,
Miniature; Émail,,4,,,,,,,
Painting,fresco transferred to canvas,4,,,,,,,
Painting,"in distemper, on panel",4,,,,,,,
Painting,"in oil, on glass",4,,,,,,,
Painting,"in oil, on silver",4,,,,,,,
Painting,in Olieverf op doek,4,,,,,,,
Painting,in sand,4,,,,,,,
Painting,"Öl, auf Messing",4,,,,,,,
Painting,on black slate,4,,,,,,,
Painting,on canvas without frame,4,,,,,,,
Painting,on cloth pasted on panel,4,,,,,,,
Painting,on convas,4,,,,,,,
Painting,on copper plate,4,,,,,,,
Painting,on mahogany panel,4,,,,,,,
Painting,on matrix of amethyst,4,,,,,,,
Painting,on pewter,4,,,,,,,
Painting,on scagliola marble,4,,,,,,,
Painting,on stained glass,4,,,,,,,
Painting,on wainscot,4,,,,,,,
Painting,on white marble,4,,,,,,,
Painting,op zilver,4,,,,,,,
Painting,pastel,4,,,,,,,
Painting,sur de l'yvoire,4,,,,,,,
Painting,with sand,4,,,,,,,
Peinture,[sur bois],4,,,,,,,
Peinture,[sur cuivre],4,,,,,,,
Peinture,à l'huile sur papier,4,,,,,,,
Peinture,à la plume,4,,,,,,,
Peinture,bois et toile,4,,,,,,,
Peinture,en encaustique,4,,,,,,,
Peinture,étain,4,,,,,,,
Peinture,fixé,4,,,,,,,
Peinture,peint au fixé,4,,,,,,,
Peinture,sur,4,,,,,,,
Peinture,sur bois à fond doré,4,,,,,,,
Peinture,sur bois ceintré,4,,,,,,,
Peinture,sur bois ou sur cuivre,4,,,,,,,
Peinture,sur pierre,4,,,,,,,
Peinture,sur pierre de Florence,4,,,,,,,
Peinture,sur toile & bois,4,,,,,,,
Peinture,"sur toile, bois ou cuivre",4,,,,,,,
Peinture,"sur toile, collée sur bois",4,,,,,,,
Peinture,"sur toile, marouflée sur bois",4,,,,,,,
Peinture,toile collé sur bois,4,,,,,,,
Peinture,Toile collée sur bois,4,,,,,,,
Sculpture,basalte vert,4,,,,,,,
Sculpture,bois doré,4,,,,,,,
Sculpture,bronze ; pied de bois noirci,4,,,,,,,
Sculpture,bronze sur pied de bois noirci,4,,,,,,,
Sculpture,"bronze, socle de bois noirci",4,,,,,,,
Sculpture,bronze?,4,,,,,,,
Sculpture,buy,4,,,,,,,
Sculpture,cristal de roche,4,,,,,,,
Sculpture,granit,4,,,,,,,
Sculpture,in copper,4,,,,,,,
Sculpture,in granite,4,,,,,,,
Sculpture,in onyx,4,,,,,,,
Sculpture,in porcelain,4,,,,,,,
Sculpture,in terracotta; in marble,4,,,,,,,
Sculpture,marbre ou terre cuite,4,,,,,,,
Sculpture,talc ou plâtre,4,,,,,,,
Sculpture,terre vernissée,4,,,,,,,
Skulptur,auf Elfenbein,4,,,,,,,
Skulptur,"Holz, Stoff",4,,,,,,,
Skulptur,Horn,4,,,,,,,
Skulptur,Lindenholz,4,,,,,,,
Zeichnung,"Aquarell, Farbstift",4,,,,,,,
Zeichnung,"Aquarell, Gouache",4,,,,,,,
Zeichnung,"Aquarell, Pastell",4,,,,,,,
Zeichnung,auf Malpappe,4,,,,,,,
Zeichnung,"Blei, Kohle auf Papier",4,,,,,,,
Zeichnung,"Blei, Pinsel auf Papier",4,,,,,,,
Zeichnung,Bleistift auf Papier auf Karton,4,,,,,,,
Zeichnung,Farbstift auf Papier,4,,,,,,,
Zeichnung,"Feder, Pinsel, Blei",4,,,,,,,
Zeichnung,"Feder, Pinsel, Tusche",4,,,,,,,
Zeichnung,Guasch auf Pergament,4,,,,,,,
Zeichnung,"Kohle, Blei",4,,,,,,,
Zeichnung,"Kohle, Farbstift",4,,,,,,,
Zeichnung,"Kohle, Sepia",4,,,,,,,
Zeichnung,Kohle.,4,,,,,,,
Zeichnung,"Kreide, Deckfarbe auf Papier",4,,,,,,,
Zeichnung,"Kreide, Rötel auf Papier",4,,,,,,,
Zeichnung,"Kreide, Tusche auf Papier",4,,,,,,,
Zeichnung,"Pinsel, Blei",4,,,,,,,
Zeichnung,sepia,4,,,,,,,
Zeichnung,Silhouette,4,,,,,,,
Zeichnung,Tusche auf Pergament,4,,,,,,,
Zeichnung,"Tusche, Bister",4,,,,,,,
Zeichnung,"Tusche, Feder auf Papier",4,,,,,,,
Zeichnung,"Tusche, Pinsel",4,,,,,,,
Zeichnung,"Tuschpinsel, Feder",4,,,,,,,
,sur bois,4,,,,,,,
Decorative arts,in terracotta,3,,,,,,,
Dessin,à l'encre de Chine & au bistre,3,,,,,,,
Dessin,à l'encre de la Chine & au lavis,3,,,,,,,
Dessin,"à l'encre de la Chine, rehaussée de blanc",3,,,,,,,
Dessin,"à la mine de plomb & à la plume, lavé de bistre",3,,,,,,,
Dessin,à la mine de plomb sur velin,3,,,,,,,
Dessin,à la pierre d'Italie sur papier blanc,3,,,,,,,
Dessin,"à la pierre noire & au crayon blanc, sur papier gris",3,,,,,,,
Dessin,à la pierre noire & au lavis d'encre de la Chine,3,,,,,,,
Dessin,à la pierre noire & lavé à l'encre de la Chine,3,,,,,,,
Dessin,à la pierre noire & lavé d'encre,3,,,,,,,
Dessin,à la pierre noire & lavés,3,,,,,,,
Dessin,à la pierre noire & sanguine,3,,,,,,,
Dessin,à la pierre noire estompée,3,,,,,,,
Dessin,à la pierre noire mêlé de sanguine,3,,,,,,,
Dessin,à la pierre noire réhaussée de blanc,3,,,,,,,
Dessin,"à la pierre noire, rehaussé de blanc sur papier bleu",3,,,,,,,
Dessin,"à la pierre noire, rehaussé de blanc sur papier gris",3,,,,,,,
Dessin,"à la pierre noire, sur papier bleu",3,,,,,,,
Dessin,à la plume & aquarelles,3,,,,,,,
Dessin,"à la plume & au bistre, lavé d'indigo",3,,,,,,,
Dessin,"à la plume & au bistre, rehaussée de blanc",3,,,,,,,
Dessin,"à la plume & au bistre, rehaussés de blanc",3,,,,,,,
Dessin,à la plume & au crayon rouge,3,,,,,,,
Dessin,à la plume & au lavis d'encre de la Chine,3,,,,,,,
Dessin,à la plume & colorés,3,,,,,,,
Dessin,à la plume & lavé à l'aquarelle,3,,,,,,,
Dessin,à la plume & lavé d'aquarelle,3,,,,,,,
Dessin,à la plume & lavé sur papier blanc,3,,,,,,,
Dessin,"à la plume & lavé, sur papier blanc",3,,,,,,,
Dessin,à la plume & lavée à la sanguine,3,,,,,,,
Dessin,à la plume & lavés de bistre sur papier blanc,3,,,,,,,
Dessin,à la plume & rehaussé de blanc & lavé de bistre,3,,,,,,,
Dessin,à la plume au bistre mêlés de sanguine & rehaussés de blanc,3,,,,,,,
Dessin,à la plume colorié,3,,,,,,,
Dessin,à la plume et lavés de bistre,3,,,,,,,
Dessin,à la plume lavé de bistre sur papier blanc,3,,,,,,,
Dessin,à la plume lavés au bistre & à la sanguine,3,,,,,,,
Dessin,à la plume ou au crayon,3,,,,,,,
Dessin,à la plume sur papier blanc & lavé de bistre,3,,,,,,,
Dessin,"à la plume sur papier blanc, & lavé de bistre",3,,,,,,,
Dessin,à la plume sur velin,3,,,,,,,
Dessin,"à la plume, & lavées au bistre",3,,,,,,,
Dessin,"à la plume, & lavés d'encre de la Chine",3,,,,,,,
Dessin,"à la plume, à la pierre noire & au bistre",3,,,,,,,
Dessin,"à la plume, au bistre & à la sanguine,",3,,,,,,,
Dessin,"à la plume, coloré & à la sanguine",3,,,,,,,
Dessin,"à la plume, lavé au bistre & à la sanguine",3,,,,,,,
Dessin,"à la plume, lavé au bistre & coloré",3,,,,,,,
Dessin,"à la plume, lavé au bistre sur papier blanc",3,,,,,,,
Dessin,"à la plume, lavé au bistre, rehaussé de blanc",3,,,,,,,
Dessin,"à la plume, lavé d'encre de Chine",3,,,,,,,
Dessin,"à la plume, lavé d'encre de la Chine, rehaussé de blanc",3,,,,,,,
Dessin,"à la plume, lavé d'indigo",3,,,,,,,
Dessin,"à la plume, lavé de bistre & de sanguine",3,,,,,,,
Dessin,"à la plume, lavées au bistre & rehaussées de blanc",3,,,,,,,
Dessin,"à la plume, laves à l'encre & au bistre",3,,,,,,,
Dessin,"à la plume, laves à l'encre & au bistre, & à la mine de plomb",3,,,,,,,
Dessin,"à la plume, lavés au bistre & à la pierre noire",3,,,,,,,
Dessin,"à la plume, lavés au bistre & aquarellés",3,,,,,,,
Dessin,"à la plume, lavés au bistre, aux crayons noir & rouge",3,,,,,,,
Dessin,"à la plume, lavés d'encre & de bistre",3,,,,,,,
Dessin,"à la plume, sur velin",3,,,,,,,
Dessin,"à la plume, un peu coloré",3,,,,,,,
Dessin,a la sanguine,3,,,,,,,
Dessin,à la sanguine & à l'encre de Chine,3,,,,,,,
Dessin,à la sanguine & à la mine de plomb,3,,,,,,,
Dessin,à la sanguine & coloré,3,,,,,,,
Dessin,à la sanguine & lavé,3,,,,,,,
Dessin,à la sanguine & rehaussé de blanc,3,,,,,,,
Dessin,à la sanguine ou pierre noire,3,,,,,,,
Dessin,à la sanguine rehaussée de blanc,3,,,,,,,
Dessin,"à la sanguine, & au crayon noir & blanc",3,,,,,,,
Dessin,au bistre & à l'encre,3,,,,,,,
Dessin,au bistre et à la plume,3,,,,,,,
Dessin,au bistre rehaussés de blanc,3,,,,,,,
Dessin,"au bistre, réhaussé de blanc",3,,,,,,,
Dessin,"au bistre, rehaussé de blanc au pinceau",3,,,,,,,
Dessin,au crayon,3,,,,,,,
Dessin,au crayon noir rehaussé de blanc sur papier bleu,3,,,,,,,
Dessin,"au crayon noir, sur papier gris",3,,,,,,,
Dessin,au crayon rouge & noir,3,,,,,,,
Dessin,"au fusin, rehaussé de blanc",3,,,,,,,
Dessin,au lavis d'encre de la Chine sur papier blanc,3,,,,,,,
Dessin,au lavis de bistre & rehaussé de blanc,3,,,,,,,
Dessin,au pastel & au crayon,3,,,,,,,
Dessin,au trait,3,,,,,,,
Dessin,aux crayons noir & blanc sur papier bleu collé sur toile,3,,,,,,,
Dessin,aux trios crayons & au pastel,3,,,,,,,
Dessin,aux trois crayons & pastel,3,,,,,,,
Dessin,aux trois crayons sur papier bleu,3,,,,,,,
Dessin,"aux trois crayons, mêlés de pastel",3,,,,,,,
Dessin,"aux trois crayons, sur papier blanc",3,,,,,,,
Dessin,"aux trois crayons, sur papier gris",3,,,,,,,
Dessin,bistre et colorié,3,,,,,,,
Dessin,bistre et indigo,3,,,,,,,
Dessin,bistre et lavé,3,,,,,,,
Dessin,"bistre et rehauts de blanc, sur papier gris",3,,,,,,,
Dessin,bistre rougeâtre et rehauts de blanc,3,,,,,,,
Dessin,bistre sur papier bleu,3,,,,,,,
Dessin,bronze,3,,,,,,,
Dessin,c rayon noir & blanc sur papier bleu,3,,,,,,,
Dessin,coloré & rehaussé d'or,3,,,,,,,
Dessin,coloré sur vélin,3,,,,,,,
Dessin,coloriée,3,,,,,,,
Dessin,coloriés sur papier blanc,3,,,,,,,
Dessin,contre épreuve,3,,,,,,,
Dessin,couleur sur papier bleu,3,,,,,,,
Dessin,crayon blanc sur papier brun,3,,,,,,,
Dessin,crayon et coloré,3,,,,,,,
Dessin,crayon noir & à la sanguine,3,,,,,,,
Dessin,crayon noir & blanc sur papier bleu & gris,3,,,,,,,
Dessin,"crayon noir & blanc, & sanguine",3,,,,,,,
Dessin,crayon noir et lavé au bistre,3,,,,,,,
Dessin,crayon noir et rehauts de blanc sur papier bleu,3,,,,,,,
Dessin,"crayon noir rehaussé de blanc sur papier bleu, sanguine",3,,,,,,,
Dessin,"crayon noir, bistre",3,,,,,,,
Dessin,"crayon noir, bistre, plume, encre de chine, aquarelle",3,,,,,,,
Dessin,"crayon noir, blanc, plume, crayon noir",3,,,,,,,
Dessin,"crayon noir, encre de chine, trois crayons",3,,,,,,,
Dessin,"crayon noir, plume sur velin",3,,,,,,,
Dessin,"crayon noir, plume, bistre",3,,,,,,,
Dessin,"crayon noir, plume, encre de chine, bistre",3,,,,,,,
Dessin,"crayon noir, rehaussé de blanc",3,,,,,,,
Dessin,"crayon noir, sur papier bistré",3,,,,,,,
Dessin,"crayon noir, trois crayons",3,,,,,,,
Dessin,crayon rouge rehaussé de blanc,3,,,,,,,
Dessin,"crayon rouge, sur papier gris",3,,,,,,,
Dessin,crayon sur papier,3,,,,,,,
Dessin,crayons noir & blanc et sur papier bleu,3,,,,,,,
Dessin,crayons noir & blanc sur différents papiers,3,,,,,,,
Dessin,"crayons noir et blanc, sur papier gris",3,,,,,,,
Dessin,crayons noir et rouge,3,,,,,,,
Dessin,crayons rouge & noir sur papier blanc,3,,,,,,,
Dessin,crayons rouge et noir,3,,,,,,,
Dessin,dessins coloriés à l'encre de la Chine,3,,,,,,,
Dessin,en couleurs,3,,,,,,,
Dessin,en miniature,3,,,,,,,
Dessin,en pastel,3,,,,,,,
Dessin,encre & bistre,3,,,,,,,
Dessin,encre & lavé,3,,,,,,,
Dessin,encre de Chine & bistre,3,,,,,,,
Dessin,encre de chine & pinceau,3,,,,,,,
Dessin,encre de chine et bistre,3,,,,,,,
Dessin,"encre de la Chine, rehaussé de blanc",3,,,,,,,
Dessin,"encre de la Chine, sur papier blanc",3,,,,,,,
Dessin,encre et rehauts de blanc,3,,,,,,,
Dessin,"fusin, sur papier blanc",3,,,,,,,
Dessin,gouache & à la pierre noire,3,,,,,,,
Dessin,gouache coloriée,3,,,,,,,
Dessin,gouache ou pastel,3,,,,,,,
Dessin,gouache sur gaze,3,,,,,,,
Dessin,gouache sur toile,3,,,,,,,
Dessin,huile sur carton,3,,,,,,,
Dessin,l'encre de la chine ou à la sanguine,3,,,,,,,
Dessin,lavé & coloré,3,,,,,,,
Dessin,"lavé à l'ancre & au bistre, rehaussé de blanc",3,,,,,,,
Dessin,lavé à l'encre & au bistre,3,,,,,,,
Dessin,lavé à l'encre de chine et sur papier,3,,,,,,,
Dessin,lavé à l'encre et coloré,3,,,,,,,
Dessin,lavé à l'encre et crayon noir,3,,,,,,,
Dessin,lavé à la sanguine,3,,,,,,,
Dessin,lavé au bistre & à l'encre de la Chine,3,,,,,,,
Dessin,lavé au bistre et coloré,3,,,,,,,
Dessin,lavé au bistre sur papier,3,,,,,,,
Dessin,lavé aux eaux,3,,,,,,,
Dessin,lavé de bistre et encre de chine sur papier,3,,,,,,,
Dessin,lavé de bistre et rehaussé de blanc sur papier,3,,,,,,,
Dessin,lavé de bistre rehaussé de blanc,3,,,,,,,
Dessin,"lavé de bistre, & rehaussé de blanc au pinceau",3,,,,,,,
Dessin,"lavé de bistre, rehaussé de blanc",3,,,,,,,
Dessin,lavé sur papier,3,,,,,,,
Dessin,lavée de bistre,3,,,,,,,
Dessin,lavis & rehaut de blanc,3,,,,,,,
Dessin,lavis & sanguine,3,,,,,,,
Dessin,"lavis à l'encre de Chine, sur papier blanc",3,,,,,,,
Dessin,lavis à la sanguine,3,,,,,,,
Dessin,"lavis bistre, rehauts de blanc, sur papier bleu",3,,,,,,,
Dessin,lavis d'encre,3,,,,,,,
Dessin,lavis d'encre de Chine,3,,,,,,,
Dessin,lavis de bistre & couleur,3,,,,,,,
Dessin,lavis de bistre rehaussé de blanc au pinceau,3,,,,,,,
Dessin,lavis de sanguine,3,,,,,,,
Dessin,lavis et encre de Chine,3,,,,,,,
Dessin,"les uns à la plume, les autres à la sanguine",3,,,,,,,
Dessin,mine de plomb et bistre,3,,,,,,,
Dessin,mine de plomb sur papier,3,,,,,,,
Dessin,"mine de plomb, sur vélin",3,,,,,,,
Dessin,papier vernis de la Chine,3,,,,,,,
Dessin,pastel sur papier,3,,,,,,,
Dessin,pastel sur velin,3,,,,,,,
Dessin,pierre noire & au crayon blanc,3,,,,,,,
Dessin,pierre noire & mine de plomb,3,,,,,,,
Dessin,pierre noire & sanguine sur papier bleu,3,,,,,,,
Dessin,pierre noire et encre de chine,3,,,,,,,
Dessin,pierre noire et lavé à l'encre,3,,,,,,,
Dessin,pierre noire et lavé au bistre,3,,,,,,,
Dessin,pierre noire et pastel,3,,,,,,,
Dessin,pierre noire et rehausé de blanc,3,,,,,,,
Dessin,pierre noire et rehauts de blanc,3,,,,,,,
Dessin,"pierre noire, & rehaussé de blanc sur papier bleu",3,,,,,,,
Dessin,"pierre noire, lavé à l'encre de Chine",3,,,,,,,
Dessin,"pierre noire, lavé au bistre",3,,,,,,,
Dessin,"pierre noire, rehaussé de blanc, sur papier bleu",3,,,,,,,
Dessin,"pierre noire, sur papier gris",3,,,,,,,
Dessin,"pierre-noire et rehauts de blanc, sur papier bleu",3,,,,,,,
Dessin,"pierre-noire, sur papier blanc",3,,,,,,,
Dessin,pinceau & bistre,3,,,,,,,
Dessin,Plume,3,,,,,,,
Dessin,plume & bistre rehaussé de blanc au pinceau,3,,,,,,,
Dessin,plume & bistre rouge,3,,,,,,,
Dessin,plume & bistre sur papier bleu,3,,,,,,,
Dessin,plume & couleurs,3,,,,,,,
Dessin,plume & encre de la Chine,3,,,,,,,
Dessin,plume & lavé à l'encre de la Chine,3,,,,,,,
